WZ11CD,BNGEAST,BNGNORTH,LONGITUDE,LATITUDE
E33022223,384667,343025,-2.229836942,52.98434523
E33022058,424153,322430,-1.643211373,52.79889722
E33022220,385135,342553,-2.222835905,52.98011246
E33022059,424033,322917,-1.644952864,52.80327459
E33022221,384177,343816,-2.237164664,52.99143406
E33022436,400842,342709,-1.988909314,52.9817251
E33022437,394828,346119,-2.078537003,53.01235444
E33022434,401169,343105,-1.984037966,52.98528451
E33022435,401371,343611,-1.981022142,52.98982976
E33022432,400058,344099,-2.000587038,52.99421955
E33022433,400771,343048,-1.989962399,52.98476796
E33022228,379688,341219,-2.303878843,52.9679443
E33022430,405675,345275,-1.916878748,53.00476008
E33022229,379310,339701,-2.309405883,52.95428182
E33022431,401213,346861,-1.9833689,53.01904506
E33022606,450835,275176,-1.254741531,52.37227793
E33022687,420188,256269,-1.7060095,52.2042785
E33022607,449808,274839,-1.269873217,52.36933989
E33022686,421359,256839,-1.68884094,52.20936317
E33022604,451309,276157,-1.247623802,52.38105167
E33022685,427367,256937,-1.600911858,52.20998059
E33020846,399553,292776,-2.008024928,52.53284863
E33022605,451556,275406,-1.244120535,52.3742781
E33022684,422798,259191,-1.667628109,52.23044733
E33020847,400645,293344,-1.991918284,52.53795987
E33022602,438123,273316,-1.441654941,52.35658661
E33020844,399658,293183,-2.00646684,52.53650956
E33022603,450895,275547,-1.253797615,52.37560834
E33022682,427857,255543,-1.593852556,52.19742506
E33020845,400526,292759,-1.99367764,52.53269744
E33022438,397283,343393,-2.041916495,52.98786672
E33022600,442640,274756,-1.375163321,52.36920388
E33022681,427319,254673,-1.601793582,52.18962818
E33020842,400723,294404,-1.990775569,52.54748217
E33022439,396068,340941,-2.059995045,52.9658137
E33022601,438705,273961,-1.433033207,52.36234239
E33022680,421204,260593,-1.690867711,52.24311615
E33023006,384623,256963,-2.226460042,52.21066496
E33023087,392865,254141,-2.105785266,52.18546775
E33020843,400334,293414,-1.996507323,52.53858719
E33023007,384558,258205,-2.227465936,52.22183668
E33023086,395538,263536,-2.066812647,52.26995891
E33020840,395456,293729,-2.068435775,52.54139988
E33023004,404307,262365,-1.93831884,52.25944001
E33023085,393566,258362,-2.095602709,52.22342581
E33020841,397222,293625,-2.042389176,52.54047619
E33023005,385014,257753,-2.220778245,52.21778168
E33023084,384557,263711,-2.227738634,52.2713291
E33023002,403725,263719,-1.946836477,52.27161567
E33023083,385296,259110,-2.216701756,52.22998616
E33023003,400980,261943,-1.987067014,52.25565339
E33023082,387252,259286,-2.188076311,52.23162142
E33023000,404050,262051,-1.942094257,52.25661459
E33023081,383789,265834,-2.239098142,52.29039472
E33022608,449894,275075,-1.268574839,52.37145404
E33022689,419792,255932,-1.711829395,52.20126889
E33023001,403545,264199,-1.949461724,52.27592871
E33023080,386249,259008,-2.202740133,52.22910033
E33022609,449518,275568,-1.274024563,52.37592281
E33022688,419342,255165,-1.718455918,52.19438896
E33023216,411017,279070,-1.839468227,52.40952352
E33023217,411555,278766,-1.831570773,52.4067847
E33020848,399865,292592,-2.003425505,52.53119208
E33023214,410468,280046,-1.847507334,52.4183093
E33020849,404621,294153,-1.933293756,52.54521176
E33023215,411547,279912,-1.831653162,52.41708051
E33023212,434474,284307,-1.494110042,52.4556291
E33023213,411250,280235,-1.836011707,52.41999364
E33023008,384507,257389,-2.228176273,52.21449284
E33023089,392034,256532,-2.117983728,52.20695339
E33023210,435090,285180,-1.484955237,52.46344243
E33023009,387344,256901,-2.18663383,52.2101795
E33023088,398211,262086,-2.027636367,52.25694498
E33023211,433436,284982,-1.509318778,52.46176435
E33023218,404611,292173,-1.933471501,52.52740934
E33023219,405031,292253,-1.927277948,52.52812778
E33021836,335290,326394,-2.961912319,52.83116411
E33020006,412398,295668,-1.818559128,52.55870592
E33020087,409741,290710,-1.857888847,52.51419527
E33021837,333847,320298,-2.982092052,52.77620052
E33020007,410490,294712,-1.846722926,52.55015095
E33020086,408282,290764,-1.879393033,52.51469666
E33021834,328777,329878,-3.059338287,52.86165931
E33020004,411559,295067,-1.830952803,52.55332317
E33020085,409814,291192,-1.856795715,52.51852023
E33021835,332447,331013,-3.005065271,52.87232933
E33020005,411728,296147,-1.828417932,52.56303407
E33020084,408582,290919,-1.874970382,52.51608958
E33021832,328455,327679,-3.063624183,52.84184898
E33020002,411931,295499,-1.825449678,52.55720005
